Order_ID,Order_Date,Product_ID,Product_Name,Category,Supplier_ID,Supplier_Name,Supplier_Country,Warehouse_ID,Customer_ID,Customer_Region,Customer_Segment,Quantity,Unit_Price,Total_Amount,Shipping_Mode,Shipping_Cost,Order_Status,Order_Date_Timestamp,Ship_Date,Expected_Delivery,Actual_Delivery,Lead_Time_Days,Actual_Lead_Time,Delay_Days,Inventory_Level,Reorder_Point,On_Time_Delivery,Year,Month,Quarter,Month_Name
ORD_000001,2023-08-17,PROD_011,Product_11,Home & Garden,SUP_005,Supplier_5,Germany,WH_007,CUST_0148,South,Individual,67,99.3,6653.099999999999,Sea,1393.23,Delivered,2023-08-17,2023-08-18,2023-09-26,2023-09-26,39,40.0,0.0,1341,151,1.0,2023,8,3,August
ORD_000002,2023-07-08,PROD_010,Product_10,Sports,SUP_017,Supplier_17,Vietnam,WH_005,CUST_0184,West,Enterprise,8,201.62,1612.96,Road,270.08,Delivered,2023-07-08,2023-07-12,2023-07-28,2023-08-03,16,26.0,6.0,3968,318,0.0,2023,7,3,July
ORD_000003,2023-04-11,PROD_048,Product_48,Home & Garden,SUP_009,Supplier_9,Vietnam,WH_007,CUST_0241,Central,Individual,8,230.23,1841.84,Road,888.04,Cancelled,2023-04-11,2023-04-12,2023-05-30,,48,,,2691,186,,2023,4,2,April
ORD_000004,2023-06-08,PROD_022,Product_22,Electronics,SUP_012,Supplier_12,Germany,WH_004,CUST_0300,West,SMB,95,170.0,16150.0,Sea,7306.94,Delivered,2023-06-08,2023-06-09,2023-07-07,2023-07-13,28,35.0,6.0,3600,424,0.0,2023,6,2,June
ORD_000005,2022-03-14,PROD_037,Product_37,Health & Beauty,SUP_006,Supplier_6,Germany,WH_004,CUST_0199,East,Individual,55,203.49,11191.95,Air,1093.13,Delivered,2022-03-14,2022-03-17,2022-03-25,2022-03-30,8,16.0,5.0,3623,480,0.0,2022,3,1,March
ORD_000006,2023-08-29,PROD_031,Product_31,Food & Beverage,SUP_006,Supplier_6,Germany,WH_002,CUST_0002,South,Enterprise,36,307.45,11068.199999999999,Road,702.7,Delivered,2023-08-29,2023-09-02,2023-09-10,2023-09-10,8,12.0,0.0,3352,297,1.0,2023,8,3,August
ORD_000007,2023-09-20,PROD_044,Product_44,Food & Beverage,SUP_019,Supplier_19,Vietnam,WH_005,CUST_0207,East,Individual,60,463.89,27833.399999999998,Road,2409.37,Delivered,2023-09-20,2023-09-24,2023-10-03,2023-10-08,9,18.0,5.0,162,199,0.0,2023,9,3,September
ORD_000008,2023-05-27,PROD_025,Product_25,Health & Beauty,SUP_011,Supplier_11,India,WH_006,CUST_0226,South,Individual,54,480.97,25972.38,Road,11144.89,Delivered,2023-05-27,2023-05-31,2023-07-10,2023-07-13,40,47.0,3.0,3826,449,0.0,2023,5,2,May
ORD_000009,2022-09-10,PROD_044,Product_44,Food & Beverage,SUP_019,Supplier_19,Vietnam,WH_004,CUST_0085,Central,Individual,98,463.89,45461.22,Sea,2010.54,Delivered,2022-09-10,2022-09-11,2022-10-08,2022-10-08,27,28.0,0.0,1444,156,1.0,2022,9,3,September
ORD_000010,2022-08-20,PROD_016,Product_16,Home & Garden,SUP_002,Supplier_2,Brazil,WH_005,CUST_0038,South,Enterprise,58,25.34,1469.72,Sea,1481.97,Delivered,2022-08-20,2022-08-22,2022-10-07,2022-10-07,46,48.0,0.0,2246,60,1.0,2022,8,3,August
ORD_000011,2023-08-20,PROD_038,Product_38,Food & Beverage,SUP_016,Supplier_16,India,WH_008,CUST_0053,Central,SMB,56,153.81,8613.36,Air,2676.4,Delivered,2023-08-20,2023-08-23,2023-09-17,2023-09-17,25,28.0,0.0,4606,60,1.0,2023,8,3,August
ORD_000012,2023-09-02,PROD_034,Product_34,Home & Garden,SUP_016,Supplier_16,India,WH_007,CUST_0073,South,Individual,65,90.98,5913.7,Sea,1706.1,Delayed,2023-09-02,2023-09-05,2023-10-18,,43,,,3829,392,,2023,9,3,September
ORD_000013,2023-04-08,PROD_004,Product_4,Sports,SUP_017,Supplier_17,Vietnam,WH_002,CUST_0135,West,Individual,33,123.14,4063.62,Road,530.82,Delivered,2023-04-08,2023-04-12,2023-04-28,2023-04-28,16,20.0,0.0,3021,105,1.0,2023,4,2,April
ORD_000014,2023-09-17,PROD_002,Product_2,Sports,SUP_020,Supplier_20,USA,WH_007,CUST_0264,West,SMB,78,198.85,15510.3,Road,5280.47,Delivered,2023-09-17,2023-09-19,2023-10-15,2023-10-15,26,28.0,0.0,3189,61,1.0,2023,9,3,September
ORD_000015,2022-06-29,PROD_004,Product_4,Sports,SUP_017,Supplier_17,Vietnam,WH_003,CUST_0049,Central,Individual,49,123.14,6033.86,Air,1364.3,Delivered,2022-06-29,2022-07-02,2022-07-15,2022-07-15,13,16.0,0.0,2298,205,1.0,2022,6,2,June
ORD_000016,2023-06-12,PROD_003,Product_3,Food & Beverage,SUP_017,Supplier_17,Vietnam,WH_008,CUST_0031,North,SMB,89,17.82,1585.98,Sea,1572.98,Delivered,2023-06-12,2023-06-13,2023-07-16,2023-07-16,33,34.0,0.0,2280,323,1.0,2023,6,2,June
ORD_000017,2022-06-15,PROD_048,Product_48,Home & Garden,SUP_009,Supplier_9,Vietnam,WH_005,CUST_0183,North,Individual,15,230.23,3453.45,Sea,1288.15,Delivered,2022-06-15,2022-06-19,2022-08-24,2022-08-24,66,70.0,0.0,3402,257,1.0,2022,6,2,June
ORD_000018,2022-03-16,PROD_019,Product_19,Clothing,SUP_001,Supplier_1,Germany,WH_001,CUST_0084,East,SMB,90,203.62,18325.8,Road,9129.26,Delivered,2022-03-16,2022-03-17,2022-04-26,2022-04-26,40,41.0,0.0,3150,235,1.0,2022,3,1,March
ORD_000019,2023-02-02,PROD_034,Product_34,Home & Garden,SUP_016,Supplier_16,India,WH_007,CUST_0293,North,Individual,17,90.98,1546.66,Road,910.27,Delivered,2023-02-02,2023-02-03,2023-03-04,2023-03-05,29,31.0,1.0,504,235,0.0,2023,2,1,February
ORD_000020,2022-07-16,PROD_033,Product_33,Home & Garden,SUP_016,Supplier_16,India,WH_006,CUST_0247,West,Individual,84,155.17,13034.279999999999,Sea,853.37,Delivered,2022-07-16,2022-07-17,2022-08-27,2022-08-27,41,42.0,0.0,3644,324,1.0,2022,7,3,July
ORD_000021,2022-12-19,PROD_039,Product_39,Home & Garden,SUP_003,Supplier_3,USA,WH_007,CUST_0104,South,Individual,74,16.9,1250.6,Rail,9767.97,Delivered,2022-12-19,2022-12-21,2023-01-30,2023-01-30,40,42.0,0.0,1880,121,1.0,2022,12,4,December
ORD_000022,2023-03-08,PROD_022,Product_22,Electronics,SUP_012,Supplier_12,Germany,WH_006,CUST_0121,East,Enterprise,87,170.0,14790.0,Sea,3993.83,Delivered,2023-03-08,2023-03-12,2023-04-10,2023-04-10,29,33.0,0.0,2747,60,1.0,2023,3,1,March
ORD_000023,2022-07-06,PROD_019,Product_19,Clothing,SUP_001,Supplier_1,Germany,WH_003,CUST_0205,North,Enterprise,17,203.62,3461.54,Road,841.24,Delivered,2022-07-06,2022-07-08,2022-08-17,2022-08-17,40,42.0,0.0,1672,351,1.0,2022,7,3,July
ORD_000024,2023-09-17,PROD_038,Product_38,Food & Beverage,SUP_016,Supplier_16,India,WH_004,CUST_0180,East,SMB,16,153.81,2460.96,Sea,372.29,Delivered,2023-09-17,2023-09-18,2023-10-29,2023-10-29,41,42.0,0.0,4463,218,1.0,2023,9,3,September
ORD_000025,2022-02-02,PROD_037,Product_37,Health & Beauty,SUP_006,Supplier_6,Germany,WH_007,CUST_0280,Central,SMB,88,203.49,17907.120000000003,Road,622.33,Delivered,2022-02-02,2022-02-06,2022-02-15,2022-02-15,9,13.0,0.0,4954,212,1.0,2022,2,1,February
ORD_000026,2022-06-22,PROD_002,Product_2,Sports,SUP_020,Supplier_20,USA,WH_005,CUST_0259,Central,SMB,63,198.85,12527.55,Sea,5151.08,Delivered,2022-06-22,2022-06-25,2022-08-02,2022-08-02,38,41.0,0.0,734,97,1.0,2022,6,2,June
ORD_000027,2023-01-11,PROD_044,Product_44,Food & Beverage,SUP_019,Supplier_19,Vietnam,WH_008,CUST_0010,East,SMB,45,463.89,20875.05,Road,1437.41,Delivered,2023-01-11,2023-01-15,2023-01-27,2023-01-27,12,16.0,0.0,3721,236,1.0,2023,1,1,January
